DEPARTAMENT,GRUP,OBJECTE,ÍTEM 1,ÍTEM 2,ÍTEM 3,ÍTEM 4,ÍTEM 5,ÍTEM 6,NOMBRE RESPOSTES
ADMINISTRACIÓ,AF1,El centre,"7,73","7,00","5,67","5,33","5,13","8,00",15
ADMINISTRACIÓ,AF1,MP01 - Comunicació i atenció al client,"8,95","8,76","8,81","8,57",,,21
ADMINISTRACIÓ,AF1,MP03 - Procés integral de l'activitat comercial,"6,91","7,59","7,50","6,68",,,22
ADMINISTRACIÓ,AF1,MP05 - Ofimàtica i procés de la informació,"8,32","8,14","8,45","8,27",,,22
ADMINISTRACIÓ,AF1,MP06 - Anglès,"5,24","6,62","5,86","6,00",,,21
ADMINISTRACIÓ,AF1,MP07 - Gestió de recursos humans,"8,95","8,82","8,82","8,64",,,22
ADMINISTRACIÓ,AF1,MP10 - Gestió logística i comercial,"8,36","8,59","7,73","8,14",,,22
ADMINISTRACIÓ,AF1,MP12 - Formació i orientació laboral,"6,54","6,69","6,69","6,38",,,13
ADMINISTRACIÓ,AF1,Tutoria 1r curs,"8,12","9,25","9,06",,,,16
ADMINISTRACIÓ,AF2,El centre,"8,18","7,27","7,64","6,82","7,64","7,64",11
ADMINISTRACIÓ,AF2,MP02 - Gestió de la documentació jurídica i empresarial,"8,80","8,47","8,80","8,93",,,15
ADMINISTRACIÓ,AF2,MP04 - Recursos humans i responsabilitat social corporativa,"6,92","7,31","7,08","6,77",,,13
ADMINISTRACIÓ,AF2,MP06 - Anglès,"4,62","4,31","3,85","3,38",,,13
ADMINISTRACIÓ,AF2,MP08 - Gestió financera,"8,54","8,54","8,77","8,54",,,13
ADMINISTRACIÓ,AF2,MP09 -  Comptabilitat i fiscalitat,"8,00","7,86","8,14","8,00",,,14
ADMINISTRACIÓ,AF2,MP11 - Simulació empresarial,"7,09","7,55","7,18","7,45",,,11
ADMINISTRACIÓ,AF2,MP13 - Projecte d'administració i finances,"7,55","7,36","7,27","7,45",,,11
ADMINISTRACIÓ,AF2,Tutoria 2n curs,"7,82","7,27","8,55","8,64",,,11
